-ie|7.118016|7.118016|809,1,7.118016
-independent|7.118016|7.118016|414,1,7.118016
-prekallikrein-kininogen|7.118016|7.118016|678,1,7.118016
a--sepharose|7.118016|7.118016|888,1,7.118016
a-like|7.118016|7.118016|921,1,7.118016
a-sepharose|7.118016|7.118016|888,1,7.118016
a-t|7.118016|7.118016|333,1,7.118016
aaas|7.118016|7.118016|555,1,7.118016
aaes-jorgensen|7.118016|7.118016|284,1,7.118016
aagenaes|6.019404|12.038808|230,1,6.019404;421,2,12.038808;543,2,12.038808
aai|7.118016|7.118016|886,1,7.118016
aakre|7.118016|7.118016|178,1,7.118016
aap|7.118016|7.118016|455,1,7.118016
aarbakke|7.118016|7.118016|1046,1,7.118016
aarn-news-lett|7.118016|7.118016|166,1,7.118016
aaron|6.424869|6.424869|932,1,6.424869;1200,1,6.424869
aarons|7.118016|7.118016|1074,1,7.118016
aaronson|6.424869|19.274607|373,1,6.424869;397,3,19.274607
aarskog-d|7.118016|7.118016|11,1,7.118016
aasen|7.118016|7.118016|776,1,7.118016
abalovich|7.118016|7.118016|293,1,7.118016
abandon|7.118016|7.118016|89,1,7.118016
abandoned|7.118016|7.118016|548,1,7.118016
abasov|7.118016|7.118016|447,1,7.118016
abate|7.118016|7.118016|931,1,7.118016
abb|7.118016|7.118016|867,1,7.118016
abbasi|7.118016|7.118016|444,1,7.118016
abbott|5.731722|5.731722|10,1,5.731722;628,1,5.731722;815,1,5.731722;960,1,5.731722
abbruzzese|7.118016|7.118016|601,1,7.118016
abc|6.424869|6.424869|340,1,6.424869;964,1,6.424869
abd|7.118016|7.118016|679,1,7.118016
abdel-latif|7.118016|7.118016|178,1,7.118016
abdeljlil|7.118016|7.118016|787,1,7.118016
abdella|7.118016|7.118016|1080,1,7.118016
abdin|7.118016|7.118016|239,1,7.118016
abdomen|5.731722|11.463444|94,1,5.731722;200,1,5.731722;787,1,5.731722;1058,2,11.463444
abdomen-acute|7.118016|7.118016|200,1,7.118016
abdomens|7.118016|7.118016|35,1,7.118016
